bjcd,name,lon,lat
1144010400,도화동,126.95004,37.53975
1144010500,용강동,126.94047,37.54151
1144010600,토정동,126.9398,37.53891
1144010700,마포동,126.94385,37.53714
1144010800,대흥동,126.9432,37.54982
1144010900,염리동,126.94727,37.54907
1144011000,노고산동,126.93778,37.55439
1144011100,신수동,126.93681,37.54857
1144011200,현석동,126.93438,37.54222
1144011300,구수동,126.93251,37.54565
1144011400,창전동,126.9301,37.55027
1144011500,상수동,126.92449,37.54667
1144011600,하중동,126.92797,37.54371
1144011700,신정동,126.93046,37.54302
1144011800,당인동,126.91964,37.54377
1144012000,서교동,126.91868,37.55378
1144012100,동교동,126.92516,37.55759
1144012200,합정동,126.90899,37.54697
1144012300,망원동,126.89986,37.55549
1144012400,연남동,126.92153,37.56304
1144012500,성산동,126.90469,37.56562
1144012600,중동,126.90617,37.57163
1144012700,상암동,126.8799,37.57075
1147010100,신정동,126.85575,37.5152
1147010200,목동,126.87454,37.53604
1147010300,신월동,126.83424,37.52644
1150010100,염창동,126.87179,37.55456
1150010200,등촌동,126.85431,37.55456
1150010300,화곡동,126.84727,37.5407
1150010400,가양동,126.85109,37.56825
1150010500,마곡동,126.82932,37.5684
1150010600,내발산동,126.8333,37.55249
1150010700,외발산동,126.81965,37.5471
1150010800,공항동,126.80893,37.55393
1150010900,방화동,126.81365,37.57608
1150011000,개화동,126.80361,37.5871
1150011100,과해동,126.78781,37.56563
1150011200,오곡동,126.78478,37.55296
1150011300,오쇠동,126.79793,37.54347
1153010100,신도림동,126.88225,37.50998
1153010200,구로동,126.88471,37.49422
1153010300,가리봉동,126.88804,37.4827
1153010600,고척동,126.85886,37.50319
1153010700,개봉동,126.85195,37.49423
1153010800,오류동,126.8386,37.49166
1153010900,궁동,126.82854,37.50043
1153011000,온수동,126.82059,37.49418
1153011100,천왕동,126.83986,37.48026
1153011200,항동,126.82459,37.48102
1154510100,가산동,126.88379,37.47668
1154510200,독산동,126.89824,37.46741
1154510300,시흥동,126.9093,37.44953
1156010100,영등포동,126.90692,37.51378
1156010200,영등포동1가,126.91287,37.51763
1156010300,영등포동2가,126.91219,37.52061
1156010400,영등포동3가,126.9079,37.51826
1156010500,영등포동4가,126.90358,37.51789
1156010600,영등포동5가,126.90668,37.52108
1156010700,영등포동6가,126.90321,37.52159
1156010800,영등포동7가,126.90712,37.52429
1156010900,영등포동8가,126.90534,37.52835
1156011000,여의도동,126.92847,37.52851
1156011100,당산동1가,126.89871,37.52179
1156011200,당산동2가,126.89371,37.52248
1156011300,당산동3가,126.89711,37.52586
1156011400,당산동4가,126.89908,37.52906
1156011500,당산동5가,126.9012,37.53209
1156011600,당산동6가,126.90288,37.53466
1156011700,당산동,126.90389,37.53651
1156011800,도림동,126.90048,37.5091
1156011900,문래동1가,126.89721,37.51238
1156012000,문래동2가,126.89311,37.51279
1156012100,문래동3가,126.89572,37.51727
1156012200,문래동4가,126.88988,37.51448
1156012300,문래동5가,126.8839,37.51669
1156012400,문래동6가,126.88468,37.51989
1156012500,양평동1가,126.8887,37.52319
1156012600,양평동2가,126.88376,37.52343
1156012700,양평동3가,126.89105,37.52903
1156012800,양평동4가,126.89615,37.53632
1156012900,양평동5가,126.89265,37.53939
1156013000,양평동6가,126.88957,37.54264
1156013100,양화동,126.88913,37.54797
1156013200,신길동,126.91362,37.50606
1156013300,대림동,126.90013,37.49542
1156013400,양평동,126.88896,37.53776
1159010100,노량진동,126.9419,37.51161
1159010200,상도동,126.94406,37.49874
1159010300,상도1동,126.95066,37.50326
1159010400,본동,126.95366,37.51245
1159010500,흑석동,126.96235,37.5055
1159010600,동작동,126.97388,37.49922
1159010700,사당동,126.97232,37.48563
1159010800,대방동,126.92799,37.50687
1159010900,신대방동,126.91719,37.49267
1162010100,봉천동,126.95349,37.47798
1162010200,신림동,126.93581,37.4632
1162010300,남현동,126.97776,37.46407
1165010100,방배동,126.99312,37.47949
1165010200,양재동,127.03746,37.47199
1165010300,우면동,127.01796,37.46594
1165010400,원지동,127.04864,37.4434
1165010600,잠원동,127.00938,37.51602
1165010700,반포동,127.00074,37.50398
1165010800,서초동,127.0168,37.48839
1165010900,내곡동,127.07682,37.45818
1165011000,염곡동,127.05365,37.4637
1165011100,신원동,127.06215,37.44419
1168010100,역삼동,127.03855,37.50008
1168010300,개포동,127.06265,37.48029
1168010400,청담동,127.05046,37.5244
1168010500,삼성동,127.05611,37.51396
1168010600,대치동,127.06335,37.49919
1168010700,신사동,127.02912,37.52339
1168010800,논현동,127.03171,37.51368
1168011000,압구정동,127.02851,37.53074
1168011100,세곡동,127.10463,37.46438
1168011200,자곡동,127.10037,37.47628
1168011300,율현동,127.11207,37.47081
1168011400,일원동,127.08287,37.48806
1168011500,수서동,127.09672,37.48588
1168011800,도곡동,127.04528,37.4886
1171010100,잠실동,127.08339,37.51196
1171010200,신천동,127.09893,37.52393
1171010300,풍납동,127.114,37.5332
1171010400,송파동,127.11355,37.50511
1171010500,석촌동,127.10251,37.50273
1171010600,삼전동,127.09189,37.5019
1171010700,가락동,127.11841,37.49569
1171010800,문정동,127.12256,37.48559
1171010900,장지동,127.13206,37.47686
1171011100,방이동,127.12539,37.51567
1171011200,오금동,127.13402,37.50401
1171011300,거여동,127.14499,37.48973
1171011400,마천동,127.15275,37.49849
1174010100,명일동,127.15082,37.54905
1174010200,고덕동,127.15753,37.56348
1174010300,상일동,127.16881,37.55059
1174010500,길동,127.14593,37.53962
1174010600,둔촌동,127.14472,37.52826
1174010700,암사동,127.13113,37.55764
1174010800,성내동,127.12899,37.53049
1174010900,천호동,127.12764,37.54438
1174011000,강일동,127.17346,37.56732
2611010100,영주동,129.03209,35.11209
2611010200,대창동1가,129.03611,35.10782
2611010300,대창동2가,129.03742,35.11066
2611010400,중앙동1가,129.03575,35.10075
2611010500,중앙동2가,129.03556,35.10211
2611010600,중앙동3가,129.03552,35.10341
2611010700,중앙동4가,129.03978,35.10668
2611010800,중앙동5가,129.03766,35.10198
2611010900,중앙동6가,129.03753,35.09991
2611011000,중앙동7가,129.03703,35.09757
2611011100,동광동1가,129.0357,35.09911
2611011200,동광동2가,129.03432,35.1002
2611011300,동광동3가,129.03402,35.10167
2611011400,동광동4가,129.03422,35.10329
2611011500,동광동5가,129.03395,35.10749
2611011600,대청동1가,129.03284,35.10437
2611011700,대청동2가,129.03102,35.10299
2611011800,대청동3가,129.02892,35.103
2611011900,대청동4가,129.02987,35.10615
2611012000,보수동1가,129.02587,35.1069
2611012100,보수동2가,129.02345,35.10509
2611012200,보수동3가,129.02229,35.10427
2611012300,부평동1가,129.02711,35.10073
2611012400,부평동2가,129.02576,35.10059
2611012500,부평동3가,129.02454,35.10137
2611012600,부평동4가,129.02269,35.10217
2611012700,신창동1가,129.03037,35.10132
2611012800,신창동2가,129.02945,35.10125
2611012900,신창동3가,129.02885,35.10131
2611013000,신창동4가,129.02823,35.10126
2611013100,창선동1가,129.03031,35.09952
2611013200,창선동2가,129.02861,35.09955
2611013300,광복동1가,129.03446,35.09873
2611013400,광복동2가,129.03245,35.1001
2611013500,광복동3가,129.03134,35.10057
2611013600,남포동1가,129.03491,35.09723
2611013700,남포동2가,129.03248,35.09828
2611013800,남포동3가,129.02925,35.09893
2611013900,남포동4가,129.032,35.09737
2611014000,남포동5가,129.02946,35.09755
2611014100,남포동6가,129.02707,35.09708
2614010100,동대신동1가,129.0222,35.11
2614010200,동대신동2가,129.02311,35.11341
2614010300,동대신동3가,129.02166,35.12376
2614010400,서대신동1가,129.01504,35.10751
2614010500,서대신동2가,129.01122,35.1096
2614010600,서대신동3가,129.0099,35.12585
2614010700,부용동1가,129.02097,35.10653
2614010800,부용동2가,129.01762,35.10648
2614010900,부민동1가,129.02059,35.10356
2614011000,부민동2가,129.01933,35.10366
2614011100,부민동3가,129.01621,35.10375
2614011200,토성동1가,129.02331,35.09941
2614011300,토성동2가,129.02151,35.10021
2614011400,토성동3가,129.02032,35.10025
2614011500,아미동1가,129.01912,35.10039
2614011600,아미동2가,129.01304,35.10024
2614011700,토성동4가,129.02351,35.09742
2614011800,토성동5가,129.02173,35.09749
2614011900,초장동,129.0175,35.09415
2614012000,충무동1가,129.02456,35.09552
2614012100,충무동2가,129.02227,35.09528
2614012200,충무동3가,129.02224,35.09387
2614012300,남부민동,129.02167,35.08714
2614012400,암남동,129.01439,35.07068
2617010100,초량동,129.03878,35.11945
2617010200,수정동,129.03847,35.13223
2617010300,좌천동,129.05319,35.12945
2617010400,범일동,129.05573,35.13681
2620010100,대교동1가,129.03795,35.09298
2620010200,대교동2가,129.041,35.09168
2620010300,대평동1가,129.03495,35.09107
2620010400,대평동2가,129.03278,35.09255
2620010500,남항동1가,129.0392,35.09024
2620010600,남항동2가,129.03729,35.08832
2620010700,남항동3가,129.03701,35.08505
2620010800,영선동1가,129.04391,35.09042
2620010900,영선동2가,129.04259,35.08826
2620011000,영선동3가,129.04135,35.08583
2620011100,영선동4가,129.04576,35.07926
2620011200,신선동1가,129.04706,35.09016
2620011300,신선동2가,129.04802,35.0866
2620011400,신선동3가,129.04982,35.08228
2620011500,봉래동1가,129.04022,35.09444
2620011600,봉래동2가,129.04287,35.09463
2620011700,봉래동3가,129.04498,35.09393
2620011800,봉래동4가,129.04898,35.09214
2620011900,봉래동5가,129.05196,35.09365
2620012000,청학동,129.06133,35.09174
2620012100,동삼동,129.07466,35.07089
2623010100,양정동,129.07097,35.17225
2623010200,전포동,129.0711,35.1575
2623010300,부전동,129.05792,35.15738
2623010400,범천동,129.05176,35.14808
2623010500,범전동,129.0601,35.16701
2623010600,연지동,129.05349,35.17184
2623010700,초읍동,129.04069,35.18579
2623010800,부암동,129.0381,35.17206
2623010900,당감동,129.02893,35.1673
2623011000,가야동,129.03235,35.14691
2623011100,개금동,129.02065,35.15387
2626010100,명장동,129.1026,35.20702
2626010200,안락동,129.10545,35.19596
2626010300,칠산동,129.09214,35.20449
2626010400,낙민동,129.09257,35.19668
2626010500,복천동,129.08833,35.20681
2626010600,수안동,129.08498,35.19895
2626010700,명륜동,129.08511,35.21094
2626010800,온천동,129.06818,35.21389
2626010900,사직동,129.05893,35.19888
2629010600,대연동,129.09255,35.14072
2629010700,용호동,129.11418,35.11446
2629010800,용당동,129.09763,35.11226
2629010900,문현동,129.07263,35.1409
2629011000,우암동,129.07569,35.12603
2629011100,감만동,129.08008,35.11296
2632010100,금곡동,129.02316,35.26174
2632010200,화명동,129.02536,35.23833
2632010300,만덕동,129.03853,35.21377
2632010400,덕천동,129.01013,35.21504
2632010500,구포동,129.00695,35.1984
2635010100,반송동,129.15246,35.22627
2635010200,석대동,129.13223,35.22494
2635010300,반여동,129.13154,35.20493
2635010400,재송동,129.12827,35.18576
2635010500,우동,129.14793,35.17426
2635010600,중동,129.17668,35.1624
2635010700,좌동,129.17423,35.18449
2635010800,송정동,129.19747,35.1846
2638010100,괴정동,128.99424,35.1035
2638010200,당리동,128.98318,35.11238
2638010300,하단동,128.95313,35.11071
2638010400,신평동,128.96644,35.09057
2638010500,장림동,128.96939,35.07627
2638010600,다대동,128.97255,35.05676
2638010700,구평동,128.99074,35.07374
2638010800,감천동,129.00448,35.0894
2641010100,두구동,129.11102,35.29143
2641010200,노포동,129.09096,35.2901
2641010300,청룡동,129.06977,35.28212
